scenario,horizon_years,model,folds,test_rows,test_failures,roc_auc,average_precision,brier_score,log_loss,expected_calibration_error
migration_alpha,3,financial_baseline_logit,4,31846,673,0.5904197147519217,0.029996116533278928,0.020646849661369992,0.10141370932394862,0.005431556897928399
migration_alpha,3,financial_plus_hypercube_logit,4,31846,673,0.5816385957822733,0.028045219749923286,0.02065428990984979,0.10160020631228325,0.005010183757134129
migration_alpha,5,financial_baseline_logit,4,31247,1117,0.5595494832621994,0.046491041309192384,0.034420944877124444,0.15345952794418186,0.0071559127386401815
migration_alpha,5,financial_plus_hypercube_logit,4,31247,1117,0.5533480188009149,0.04280019571672583,0.03444480598829506,0.1537067471360081,0.005773690518635221
null_alpha,3,financial_baseline_logit,4,31789,699,0.5713053754088636,0.03030801373436296,0.021479190022992915,0.1051315473786203,0.005195572271812329
null_alpha,3,financial_plus_hypercube_logit,4,31789,699,0.5635767182368205,0.029489413766957497,0.021484391358911,0.10523181688102332,0.00474106588772799
null_alpha,5,financial_baseline_logit,4,31185,1126,0.5730216423789541,0.04912412619982537,0.03477459028775186,0.1549601322361761,0.008331437254799338
null_alpha,5,financial_plus_hypercube_logit,4,31185,1126,0.5568435443883178,0.04553294948130774,0.03477215779596114,0.1549726665646537,0.006663970715395524
regime_shift,3,financial_baseline_logit,4,31333,630,0.49208559007217684,0.020742515464920366,0.019732639818107942,0.09913789131491514,0.006056315589322238
regime_shift,3,financial_plus_hypercube_logit,4,31333,630,0.5014480346050991,0.023180510220228375,0.01973000902449698,0.0990655858977563,0.006078591124382895
regime_shift,5,financial_baseline_logit,4,30698,1022,0.4899235056872399,0.0343850906090132,0.03224070466099984,0.1467964320656241,0.008617690297394582
regime_shift,5,financial_plus_hypercube_logit,4,30698,1022,0.5071500137632811,0.037538844991215195,0.032233274940019194,0.14670863156979888,0.008663885866729988
