scenario,section,variable,observations,vif
null_alpha,relative_unit_economics,rel_operating_margin,56922,6.620685494120551
null_alpha,relative_unit_economics,rel_cash_adjusted_roic,56922,11.90093521828405
null_alpha,relative_unit_economics,rel_gross_profitability_lag_assets,56922,3.547893579826351
null_alpha,anchored_unit_economics,anch_operating_margin,56721,8.47650983240619
null_alpha,anchored_unit_economics,anch_cash_adjusted_roic,56721,15.36809263209503
null_alpha,anchored_unit_economics,anch_gross_profitability_lag_assets,56721,4.104346104907351
migration_alpha,relative_unit_economics,rel_operating_margin,55900,6.532649140617257
migration_alpha,relative_unit_economics,rel_cash_adjusted_roic,55900,11.252813717034549
migration_alpha,relative_unit_economics,rel_gross_profitability_lag_assets,55900,3.2515474026934656
migration_alpha,anchored_unit_economics,anch_operating_margin,55721,8.218841895019056
migration_alpha,anchored_unit_economics,anch_cash_adjusted_roic,55721,14.227599489225708
migration_alpha,anchored_unit_economics,anch_gross_profitability_lag_assets,55721,3.694277919075081
regime_shift,relative_unit_economics,rel_operating_margin,55206,7.36942811801764
regime_shift,relative_unit_economics,rel_cash_adjusted_roic,55206,12.441381525609446
regime_shift,relative_unit_economics,rel_gross_profitability_lag_assets,55206,3.298172891876902
regime_shift,anchored_unit_economics,anch_operating_margin,55047,9.485216999746177
regime_shift,anchored_unit_economics,anch_cash_adjusted_roic,55047,16.177005683307616
regime_shift,anchored_unit_economics,anch_gross_profitability_lag_assets,55047,3.813896426119085
