scenario,cause,fold,test_start_year,test_end_year,train_intervals,train_issuers,train_events,train_max_stop_date,test_intervals,test_issuers,test_events,concordance,comparable_pairs,roc_auc,average_precision,brier_score,calibration_intercept,calibration_slope
null_alpha,performance_failure,1,2010,2014,11963,1669,95,2009-12-15,8005,1772,67,0.558871669207531,106919,0.5565088390248304,0.0108734567961522,0.0083002418941082,-0.1938877744509751,0.94374650812146
null_alpha,merger,1,2010,2014,11963,1669,117,2009-12-15,8005,1772,65,0.5299683008887419,102842,0.5298566169347025,0.0088014764131361,0.0080676390979175,-0.2242885430346866,1.0136293919701116
null_alpha,performance_failure,2,2015,2019,19827,1969,162,2014-12-15,8838,1938,105,0.5608414557031028,183444,0.5586483671677763,0.0146068048140098,0.0117482013664129,-0.1838822065288491,0.8843226256557554
null_alpha,merger,2,2015,2019,19827,1969,182,2014-12-15,8838,1938,120,0.4854165266563619,208318,0.4966850194998853,0.0138120989290638,0.0134156393818023,-5.086407262833578,-0.1714092137414842
migration_alpha,performance_failure,1,2010,2014,11936,1649,98,2009-12-15,8061,1769,48,0.6204205844485193,76893,0.6242200174716086,0.0116555797963154,0.0059130652275675,-0.2004760023010933,1.0013677255957112
migration_alpha,merger,1,2010,2014,11936,1649,100,2009-12-15,8061,1769,57,0.534657594381036,91120,0.5364839510069527,0.0076951468291454,0.0070242485657618,-0.212156097344373,1.00286337256311
migration_alpha,performance_failure,2,2015,2019,19828,1935,146,2014-12-15,8822,1945,127,0.5906239187048132,219644,0.5885154378704387,0.0199015893297592,0.0142038556895478,-1.5070370443181496,0.5676592774632591
migration_alpha,merger,2,2015,2019,19828,1935,157,2014-12-15,8822,1945,138,0.5209437596786987,238281,0.5177679757541772,0.0177647001517067,0.0154573652056757,-0.1699997076543664,0.8208998771978214
regime_shift,performance_failure,1,2010,2014,11551,1618,86,2009-12-15,7960,1781,59,0.5461800245546773,92854,0.5455155858837865,0.0146835157906926,0.0073554291154956,-0.1954298023014171,0.9600298958651408
regime_shift,merger,1,2010,2014,11551,1618,109,2009-12-15,7960,1781,61,0.5060404774260508,96350,0.5032220305952818,0.0086670399178246,0.0076110066861847,-0.2178272340709795,1.0050442418523224
regime_shift,performance_failure,2,2015,2019,19329,1940,145,2014-12-15,8813,1932,115,0.5273806230983932,198845,0.5015905705459526,0.0163169184526023,0.0129056679971824,-3.8767554466329983,0.0924772885623848
regime_shift,merger,2,2015,2019,19329,1940,170,2014-12-15,8813,1932,126,0.4693335166219901,218235,0.4921548528087034,0.0139891260617578,0.0141397900645116,-5.189267714757808,-0.1971320565944307
