scenario,feature,missing_rows,missing_rate
null_alpha,viability_log_odds,0,0.0
null_alpha,velocity_log_odds,5806,0.1917120686808651
null_alpha,acceleration_log_odds,11751,0.3880138682516097
null_alpha,crowding_density,13,0.0004292554069671
null_alpha,historical_success_density,0,0.0
null_alpha,log_market_cap,0,0.0
null_alpha,book_leverage,0,0.0
null_alpha,operating_margin,0,0.0
migration_alpha,viability_log_odds,0,0.0
migration_alpha,velocity_log_odds,5769,0.1903960396039604
migration_alpha,acceleration_log_odds,11719,0.3867656765676567
migration_alpha,crowding_density,17,0.0005610561056105
migration_alpha,historical_success_density,0,0.0
migration_alpha,log_market_cap,0,0.0
migration_alpha,book_leverage,0,0.0
migration_alpha,operating_margin,0,0.0
regime_shift,viability_log_odds,0,0.0
regime_shift,velocity_log_odds,5662,0.1901339870378454
regime_shift,acceleration_log_odds,11478,0.3854394036065683
regime_shift,crowding_density,19,0.0006380335135498
regime_shift,historical_success_density,0,0.0
regime_shift,log_market_cap,0,0.0
regime_shift,book_leverage,0,0.0
regime_shift,operating_margin,0,0.0
