scenario,repetition,sample_rows,clusters,noise_rate_evaluation,adjusted_rand_index,fit_status
null_alpha,0,20226,0,1.0,,NO_STABLE_CLUSTERS
null_alpha,1,20226,2,0.869833484950362,-0.0059925137935851,PASS
null_alpha,2,20226,2,0.9052327650990784,0.0057380487871367,PASS
null_alpha,3,20226,2,0.8729976664161689,-0.0040603426219461,PASS
null_alpha,4,20226,2,0.8885021555986236,-0.0020111575747001,PASS
migration_alpha,0,19423,0,1.0,,NO_STABLE_CLUSTERS
migration_alpha,1,19423,0,1.0,,NO_STABLE_CLUSTERS
migration_alpha,2,19423,0,1.0,,NO_STABLE_CLUSTERS
migration_alpha,3,19423,2,0.894476708266403,0.0024467110839118,PASS
migration_alpha,4,19423,2,0.8811318423328802,0.0030024066378283,PASS
regime_shift,0,19113,0,1.0,,NO_STABLE_CLUSTERS
regime_shift,1,19113,0,1.0,,NO_STABLE_CLUSTERS
regime_shift,2,19113,0,1.0,,NO_STABLE_CLUSTERS
regime_shift,3,19113,0,1.0,,NO_STABLE_CLUSTERS
regime_shift,4,19113,0,1.0,,NO_STABLE_CLUSTERS
